-1,68,64,1,0,0
-1,68,64,0.25,0,0
-0.75,71,66,0.75,0,0
-0.5,52,55,0.25,1,0
-0.25,59,59,0.25,1,0
0,71,66,1,0,1
0,71,66,0.25,0,1
0.25,66,63,0.75,0,1
0.5,63,61,0.25,1,1
0.75,51,54,0.25,1,1
1,64,62,1,0,1
1,64,62,0.25,0,1
1.25,68,64,0.75,0,1
1.5,49,53,0.25,1,1
1.75,56,57,0.25,1,1
2,68,64,1,0,2
2,68,64,0.25,0,2
2.25,63,61,0.75,0,2
2.5,59,59,0.25,1,2
2.75,47,52,0.25,1,2
3,61,60,1,0,2
3,61,60,0.25,0,2
3.25,64,62,0.75,0,2
3.5,45,51,0.25,1,2
3.75,52,55,0.25,1,2
4,64,62,1,0,3
4,64,62,0.25,0,3
4.25,59,59,0.75,0,3
4.5,56,57,0.25,1,3
4.75,44,50,0.25,1,3
5,57,58,0.25,0,3
5,63,61,1,0,3
5,66,63,1,0,3
5.25,59,59,0.75,0,3
5.5,35,45,0.25,1,3
5.75,47,52,0.25,1,3
6,56,57,0.25,0,4
6,64,62,1,0,4
6,68,64,1,0,4
6.25,59,59,0.75,0,4
6.5,52,55,0.25,1,4
6.75,40,48,0.25,1,4
7,68,64,1,0,4
7,68,64,0.25,0,4
7.25,71,66,0.75,0,4
7.5,52,55,0.25,1,4
7.75,59,59,0.25,1,4
8,71,66,1,0,5
8,71,66,0.25,0,5
8.25,66,63,0.75,0,5
8.5,63,61,0.25,1,5
8.75,51,54,0.25,1,5
9,64,62,1,0,5
9,70,65,0.25,0,5
9.25,76,69,0.75,0,5
9.5,49,53,0.25,1,5
9.75,54,56,0.25,1,5
10,63,61,1,0,6
10,75,68,0.25,0,6
10.25,71,66,0.75,0,6
10.5,59,59,0.25,1,6
10.75,47,52,0.25,1,6
11,71,66,1,0,6
11,71,66,0.25,0,6
11.25,75,68,0.75,0,6
11.5,54,56,0.25,1,6
11.75,66,63,0.25,1,6
12,76,69,1,0,6
12,76,69,0.25,0,6
12.25,71,66,0.75,0,7
12.5,68,64,0.25,1,7
12.75,56,57,0.25,1,7
13,68,64,0.25,0,7
13,71,66,1,0,7
13.25,80,71,0.75,0,7
13.5,52,55,0.25,1,7
13.75,64,62,0.25,1,7
14,78,70,1,0,7
14,78,70,0.25,0,7
14.25,71,66,0.75,0,8
14.25,75,68,0.75,0,8
14.5,66,63,0.25,1,8
14.75,54,56,0.25,1,8
15,70,65,1,0,8
15,73,67,0.25,0,8
15.25,82,72,0.75,0,8
15.5,42,49,0.25,1,8
15.75,54,56,0.25,1,8
16,69,65,1.5,0,9
16,72,66,1,0,9
16,75,68,1,0,9
16,78,70,1,0,9
16,81,72,1,0,9
16.5,54,56,0.5,1,9
16.5,57,58,0.5,1,9
16.5,60,59,0.25,1,9
16.5,63,61,0.25,1,9
16.75,64,62,0.25,1,9
17.25,68,64,0.25,1,9
17.5,60,59,0.5,1,9
17.5,63,61,0.5,1,9
17.5,69,65,0.5,1,9
18,61,60,0.25,1,9
